Date,Returns,Price_Y,Price_X1,Price_X2,Price_X3
2024-01-01,0.012,100.00,50.00,75.00,60.00
2024-01-02,-0.008,101.20,50.60,76.50,60.80
2024-01-03,0.015,100.40,51.20,78.00,61.60
2024-01-04,-0.012,101.90,52.00,79.80,62.50
2024-01-05,0.018,100.70,52.50,81.00,63.20
2024-01-06,-0.015,102.50,53.20,82.50,64.00
2024-01-07,0.022,101.00,54.00,84.20,64.90
2024-01-08,-0.010,103.20,54.80,85.50,65.70
2024-01-09,0.019,102.20,55.60,87.00,66.50
2024-01-10,-0.013,104.10,56.50,88.80,67.40
2024-01-11,0.025,103.00,57.30,90.20,68.20
2024-01-12,-0.018,105.50,58.20,92.00,69.10
2024-01-13,0.021,104.20,59.00,93.50,70.00
2024-01-14,-0.014,106.30,60.00,95.20,70.90
2024-01-15,0.028,105.10,60.80,96.80,71.80
2024-01-16,-0.020,107.80,61.70,98.50,72.70
2024-01-17,0.024,106.60,62.60,100.20,73.60
2024-01-18,-0.016,109.10,63.50,102.00,74.50
2024-01-19,0.030,107.90,64.40,103.80,75.40
2024-01-20,-0.022,111.20,65.40,105.60,76.30
2024-01-21,0.026,109.90,66.30,107.50,77.30
2024-01-22,-0.019,113.00,67.30,109.40,78.20
2024-01-23,0.032,111.80,68.20,111.20,79.20
2024-01-24,-0.024,114.50,69.20,113.10,80.10
2024-01-25,0.027,113.30,70.10,115.00,81.10
2024-01-26,-0.021,116.30,71.10,117.00,82.10
2024-01-27,0.035,115.20,72.00,119.00,83.00
2024-01-28,-0.026,118.20,73.00,121.00,84.00
2024-01-29,0.029,117.10,74.00,123.00,85.00
2024-01-30,-0.023,120.50,75.00,125.10,86.00
